Precinct,County,Registered Voters,Melba H. Fiveash (I) (Rep)_Election Day Votes,Melba H. Fiveash (I) (Rep)_Advanced Voting Votes,Melba H. Fiveash (I) (Rep)_Absentee by Mail Votes,Melba H. Fiveash (I) (Rep)_Provisional Votes,Melba H. Fiveash (I) (Rep)_Choice Total,Total,
100,Ware,4740,231,803,645,5,1684,1684,
200A,Ware,2730,249,919,225,5,1398,1398,
200B,Ware,976,66,205,99,3,373,373,
300,Ware,4061,433,1579,423,8,2443,2443,
304,Ware,1269,198,440,85,1,724,724,
400,Ware,3538,421,1569,379,6,2375,2375,
404,Ware,373,158,71,37,1,267,267,
405,Ware,636,208,196,49,1,454,454,
406,Ware,1659,312,695,126,1,1134,1134,
407,Ware,505,208,115,30,0,353,353,
408,Ware,523,204,118,25,0,347,347,
409,Ware,984,228,365,76,0,669,669,
