Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
100,Ware,4740,229,793,611,5,1638,75,316,269,1,661,2299,
200A,Ware,2730,183,691,196,5,1075,87,317,90,2,496,1571,
200B,Ware,976,52,174,111,3,340,18,74,32,0,124,464,
300,Ware,4061,303,1062,315,9,1689,140,551,152,5,848,2537,
304,Ware,1269,128,287,60,1,476,70,150,40,0,260,736,
400,Ware,3538,290,1006,267,2,1565,137,561,167,4,869,2434,
404,Ware,373,101,34,25,1,161,53,33,23,0,109,270,
405,Ware,636,119,114,31,1,265,82,79,25,0,186,451,
406,Ware,1659,201,441,84,1,727,96,238,46,0,380,1107,
407,Ware,505,130,59,20,0,209,67,46,11,0,124,333,
408,Ware,523,129,72,16,0,217,71,46,7,0,124,341,
409,Ware,984,140,220,38,0,398,81,132,42,0,255,653,
