Precinct,County,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
Tarboro,Camden,979,223,226,80,0,529,529,
Waverly,Camden,1530,299,494,183,0,976,976,
Woodbine,Camden,1973,293,554,158,1,1006,1006,
Browntown,Camden,698,126,216,58,0,400,400,
Harrietts Bluff,Camden,1834,381,641,164,0,1186,1186,
West Kingsland,Camden,2782,336,1012,219,0,1567,1567,
North Kingsland,Camden,2599,243,630,180,0,1053,1053,
Kingsland,Camden,2274,216,620,145,0,981,981,
East Kingsland,Camden,6866,605,2364,627,0,3596,3596,
North St Marys,Camden,2095,221,407,124,0,752,752,
St Marys,Camden,3218,426,929,277,0,1632,1632,
South St Marys,Camden,2139,229,751,255,2,1237,1237,
Mush Bluff,Camden,2816,360,979,275,1,1615,1615,
West St Marys,Camden,3147,253,1343,508,0,2104,2104,
