Precinct,County,Registered Voters,Joy Lynn Turner (I) (Rep)_Election Day Votes,Joy Lynn Turner (I) (Rep)_Advanced Voting Votes,Joy Lynn Turner (I) (Rep)_Absentee by Mail Votes,Joy Lynn Turner (I) (Rep)_Provisional Votes,Joy Lynn Turner (I) (Rep)_Choice Total,Total,
Tarboro,Camden,979,241,241,97,0,579,579,
Waverly,Camden,1530,303,509,209,0,1021,1021,
Woodbine,Camden,1973,302,580,185,1,1068,1068,
Browntown,Camden,698,128,223,66,0,417,417,
Harrietts Bluff,Camden,1834,388,668,170,0,1226,1226,
West Kingsland,Camden,2782,348,1044,229,0,1621,1621,
North Kingsland,Camden,2599,253,663,209,0,1125,1125,
Kingsland,Camden,2274,224,646,165,0,1035,1035,
East Kingsland,Camden,6866,623,2407,668,0,3698,3698,
North St Marys,Camden,2095,217,413,128,0,758,758,
St Marys,Camden,3218,439,967,296,0,1702,1702,
South St Marys,Camden,2139,240,767,278,2,1287,1287,
Mush Bluff,Camden,2816,367,1008,291,1,1667,1667,
West St Marys,Camden,3147,256,1374,517,0,2147,2147,
