Precinct,County,Registered Voters,Jim Proctor (I) (Ind)_Election Day Votes,Jim Proctor (I) (Ind)_Advanced Voting Votes,Jim Proctor (I) (Ind)_Absentee by Mail Votes,Jim Proctor (I) (Ind)_Provisional Votes,Jim Proctor (I) (Ind)_Choice Total,Total,
Tarboro,Camden,979,250,251,107,0,608,608,
Waverly,Camden,1530,310,508,243,0,1061,1061,
Woodbine,Camden,1973,316,639,231,1,1187,1187,
Browntown,Camden,698,125,224,70,0,419,419,
Harrietts Bluff,Camden,1834,389,670,196,0,1255,1255,
West Kingsland,Camden,2782,346,1066,255,0,1667,1667,
North Kingsland,Camden,2599,265,755,265,0,1285,1285,
Kingsland,Camden,2274,229,664,190,0,1083,1083,
East Kingsland,Camden,6866,646,2531,746,0,3923,3923,
North St Marys,Camden,2095,221,445,143,0,809,809,
St Marys,Camden,3218,445,1010,347,0,1802,1802,
South St Marys,Camden,2139,243,797,305,2,1347,1347,
Mush Bluff,Camden,2816,367,1055,336,1,1759,1759,
West St Marys,Camden,3147,251,1378,572,0,2201,2201,
