Precinct,County,Registered Voters,Ben L. Casey (I) (Rep)_Election Day Votes,Ben L. Casey (I) (Rep)_Advanced Voting Votes,Ben L. Casey (I) (Rep)_Absentee by Mail Votes,Ben L. Casey (I) (Rep)_Provisional Votes,Ben L. Casey (I) (Rep)_Choice Total,Total,
Browntown,Camden,698,131,223,61,0,415,415,
West Kingsland,Camden,2782,345,1034,231,0,1610,1610,
North Kingsland,Camden,2599,109,302,67,0,478,478,
Kingsland,Camden,2274,221,627,160,0,1008,1008,
