Precinct,County,Registered Voters,Shanda_Election Day Votes,Shanda_Advanced Voting Votes,Shanda_Absentee by Mail Votes,Shanda_Provisional Votes,Shanda_Choice Total,Total,
Douglas,Coffee,17243,1474,5795,1025,2,8296,8296,
Ambrose,Coffee,2053,389,686,111,1,1187,1187,
Bridgetown,Coffee,344,130,68,14,0,212,212,
Broxton,Coffee,2398,419,832,113,3,1367,1367,
Nicholls,Coffee,2115,417,550,100,3,1070,1070,
West Green,Coffee,961,303,244,49,0,596,596,
