Precinct,County,Registered Voters,Sheila_Election Day Votes,Sheila_Advanced Voting Votes,Sheila_Absentee by Mail Votes,Sheila_Provisional Votes,Sheila_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,696,3029,734,5,4464,4464,
Crossroads Library,Paulding,3662,366,1665,522,1,2554,2554,
Shelton Elementary,Paulding,5095,565,1972,588,3,3128,3128,
Russom Elementary,Paulding,8243,835,3250,1331,6,5422,5422,
Paulding Sr Center,Paulding,5972,616,2182,621,6,3425,3425,
Legacy Bapt Church,Paulding,4443,399,1347,636,3,2385,2385,
Watson Govt Cmplx,Paulding,10774,888,3454,1211,9,5562,5562,
West Ridge Church,Paulding,11546,1245,4222,1559,5,7031,7031,
Events Place,Paulding,4923,375,1252,552,3,2182,2182,
Poplar Sprgs Bapt Church,Paulding,4825,400,1366,507,0,2273,2273,
D Wright Innovation Ctr,Paulding,7137,644,2710,600,2,3956,3956,
Nebo Elem School,Paulding,10070,1262,3697,1022,5,5986,5986,
White Oak Park,Paulding,5833,634,1987,618,8,3247,3247,
Mulberry Rock Park,Paulding,5911,775,2507,696,5,3983,3983,
Beulahland Baptist Church,Paulding,2547,411,1006,232,3,1652,1652,
Paulding County Airport,Paulding,4132,620,1492,425,5,2542,2542,
Picketts Mill Baptist Church,Paulding,2748,347,1095,365,1,1808,1808,
Taylor Farm Park,Paulding,2761,238,948,346,0,1532,1532,
Dobbins Middle School,Paulding,8081,597,2722,842,2,4163,4163,
