Precinct,County,Registered Voters,"W. Carlton Rakestraw, Jr. (I) (Rep)_Election Day Votes","W. Carlton Rakestraw, Jr. (I) (Rep)_Advanced Voting Votes","W. Carlton Rakestraw, Jr. (I) (Rep)_Absentee by Mail Votes","W. Carlton Rakestraw, Jr. (I) (Rep)_Provisional Votes","W. Carlton Rakestraw, Jr. (I) (Rep)_Choice Total",Total,
Burnt Hickory Park,Paulding,6242,694,3012,729,5,4440,4440,
Crossroads Library,Paulding,3662,371,1664,517,1,2553,2553,
Shelton Elementary,Paulding,5095,566,1964,592,3,3125,3125,
Russom Elementary,Paulding,8243,831,3238,1329,6,5404,5404,
Paulding Sr Center,Paulding,5972,607,2181,616,6,3410,3410,
Legacy Bapt Church,Paulding,4443,399,1340,625,4,2368,2368,
Watson Govt Cmplx,Paulding,10774,888,3417,1205,9,5519,5519,
West Ridge Church,Paulding,11546,1235,4205,1550,5,6995,6995,
Events Place,Paulding,4923,372,1259,550,3,2184,2184,
Poplar Sprgs Bapt Church,Paulding,4825,394,1366,502,0,2262,2262,
D Wright Innovation Ctr,Paulding,7137,634,2694,609,2,3939,3939,
Nebo Elem School,Paulding,10070,1253,3682,1013,4,5952,5952,
White Oak Park,Paulding,5833,639,1985,610,8,3242,3242,
Mulberry Rock Park,Paulding,5911,769,2487,698,5,3959,3959,
Beulahland Baptist Church,Paulding,2547,407,988,234,3,1632,1632,
Paulding County Airport,Paulding,4132,616,1472,422,5,2515,2515,
Picketts Mill Baptist Church,Paulding,2748,341,1093,367,1,1802,1802,
Taylor Farm Park,Paulding,2761,230,949,346,0,1525,1525,
Dobbins Middle School,Paulding,8081,584,2712,842,2,4140,4140,
