Precinct,County,Registered Voters,Martin E. Valbuena (I) (Rep)_Election Day Votes,Martin E. Valbuena (I) (Rep)_Advanced Voting Votes,Martin E. Valbuena (I) (Rep)_Absentee by Mail Votes,Martin E. Valbuena (I) (Rep)_Provisional Votes,Martin E. Valbuena (I) (Rep)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,691,3000,720,5,4416,4416,
Crossroads Library,Paulding,3662,369,1661,515,1,2546,2546,
Shelton Elementary,Paulding,5095,565,1964,579,3,3111,3111,
Russom Elementary,Paulding,8243,826,3234,1318,6,5384,5384,
Paulding Sr Center,Paulding,5972,605,2177,611,6,3399,3399,
Legacy Bapt Church,Paulding,4443,402,1337,617,3,2359,2359,
Watson Govt Cmplx,Paulding,10774,883,3431,1198,9,5521,5521,
West Ridge Church,Paulding,11546,1235,4199,1521,5,6960,6960,
Events Place,Paulding,4923,373,1257,544,3,2177,2177,
Poplar Sprgs Bapt Church,Paulding,4825,394,1365,500,0,2259,2259,
D Wright Innovation Ctr,Paulding,7137,631,2688,598,2,3919,3919,
Nebo Elem School,Paulding,10070,1243,3676,1015,4,5938,5938,
White Oak Park,Paulding,5833,636,1985,603,8,3232,3232,
Mulberry Rock Park,Paulding,5911,770,2480,684,5,3939,3939,
Beulahland Baptist Church,Paulding,2547,403,988,232,3,1626,1626,
Paulding County Airport,Paulding,4132,616,1475,411,5,2507,2507,
Picketts Mill Baptist Church,Paulding,2748,347,1087,367,1,1802,1802,
Taylor Farm Park,Paulding,2761,232,945,341,0,1518,1518,
Dobbins Middle School,Paulding,8081,584,2710,837,2,4133,4133,
