Precinct,County,Registered Voters,Adam Clayton (Rep)_Election Day Votes,Adam Clayton (Rep)_Advanced Voting Votes,Adam Clayton (Rep)_Absentee by Mail Votes,Adam Clayton (Rep)_Provisional Votes,Adam Clayton (Rep)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,691,3002,705,5,4403,4403,
Crossroads Library,Paulding,3662,368,1664,516,1,2549,2549,
Shelton Elementary,Paulding,5095,570,1954,588,3,3115,3115,
Russom Elementary,Paulding,8243,822,3226,1296,6,5350,5350,
Paulding Sr Center,Paulding,5972,615,2186,604,6,3411,3411,
Legacy Bapt Church,Paulding,4443,398,1328,609,4,2339,2339,
Watson Govt Cmplx,Paulding,10774,880,3416,1178,10,5484,5484,
West Ridge Church,Paulding,11546,1229,4191,1507,4,6931,6931,
Events Place,Paulding,4923,373,1248,543,3,2167,2167,
Poplar Sprgs Bapt Church,Paulding,4825,389,1356,494,0,2239,2239,
D Wright Innovation Ctr,Paulding,7137,630,2689,592,2,3913,3913,
Nebo Elem School,Paulding,10070,1240,3666,1005,4,5915,5915,
White Oak Park,Paulding,5833,636,1977,600,8,3221,3221,
Mulberry Rock Park,Paulding,5911,768,2490,669,5,3932,3932,
Beulahland Baptist Church,Paulding,2547,402,991,232,3,1628,1628,
Paulding County Airport,Paulding,4132,610,1464,402,5,2481,2481,
Picketts Mill Baptist Church,Paulding,2748,345,1080,355,1,1781,1781,
Taylor Farm Park,Paulding,2761,233,948,343,0,1524,1524,
Dobbins Middle School,Paulding,8081,586,2693,827,2,4108,4108,
