Precinct,County,Registered Voters,Deborah Collett (Rep)_Election Day Votes,Deborah Collett (Rep)_Advanced Voting Votes,Deborah Collett (Rep)_Absentee by Mail Votes,Deborah Collett (Rep)_Provisional Votes,Deborah Collett (Rep)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,692,3004,700,5,4401,4401,
Crossroads Library,Paulding,3662,370,1663,517,1,2551,2551,
Shelton Elementary,Paulding,5095,569,1960,590,3,3122,3122,
Russom Elementary,Paulding,8243,823,3231,1302,6,5362,5362,
Paulding Sr Center,Paulding,5972,610,2183,612,6,3411,3411,
Legacy Bapt Church,Paulding,4443,399,1339,609,4,2351,2351,
Watson Govt Cmplx,Paulding,10774,885,3422,1184,9,5500,5500,
West Ridge Church,Paulding,11546,1227,4189,1512,4,6932,6932,
Events Place,Paulding,4923,373,1250,545,3,2171,2171,
Poplar Sprgs Bapt Church,Paulding,4825,390,1361,502,0,2253,2253,
D Wright Innovation Ctr,Paulding,7137,630,2693,596,2,3921,3921,
Nebo Elem School,Paulding,10070,1243,3669,1012,4,5928,5928,
White Oak Park,Paulding,5833,635,1980,601,8,3224,3224,
Mulberry Rock Park,Paulding,5911,771,2492,675,5,3943,3943,
Beulahland Baptist Church,Paulding,2547,404,992,231,3,1630,1630,
Paulding County Airport,Paulding,4132,614,1475,404,5,2498,2498,
Picketts Mill Baptist Church,Paulding,2748,344,1081,361,1,1787,1787,
Taylor Farm Park,Paulding,2761,233,951,341,0,1525,1525,
Dobbins Middle School,Paulding,8081,585,2707,844,2,4138,4138,
