Precinct,County,Registered Voters,Laura Semanson (I) (Rep)_Election Day Votes,Laura Semanson (I) (Rep)_Advanced Voting Votes,Laura Semanson (I) (Rep)_Absentee by Mail Votes,Laura Semanson (I) (Rep)_Provisional Votes,Laura Semanson (I) (Rep)_Choice Total,Total,
03 Browns Bridge,Forsyth,10740,796,4293,1208,0,6297,6297,
08 Mashburn,Forsyth,8296,690,3713,1215,2,5620,5620,
25 Windermere,Forsyth,9714,488,3484,994,2,4968,4968,
36 Nichols,Forsyth,6989,373,2709,797,3,3882,3882,
