Precinct,County,Registered Voters,Paul W. Holbrook (Rep)_Election Day Votes,Paul W. Holbrook (Rep)_Advanced Voting Votes,Paul W. Holbrook (Rep)_Absentee by Mail Votes,Paul W. Holbrook (Rep)_Provisional Votes,Paul W. Holbrook (Rep)_Choice Total,Total,
01 Big Creek,Forsyth,11222,709,4651,1892,4,7256,7256,
02 Brandywine,Forsyth,4500,507,1285,616,1,2409,2409,
03 Browns Bridge,Forsyth,10740,913,4818,1347,3,7081,7081,
04 Chestatee,Forsyth,6776,639,3250,750,2,4641,4641,
05 Coal Mountain,Forsyth,7852,702,3716,814,1,5233,5233,
06 Crossroads,Forsyth,7061,581,3369,615,1,4566,4566,
07 Cumming,Forsyth,6281,432,2519,796,1,3748,3748,
08 Mashburn,Forsyth,8296,695,3753,1219,2,5669,5669,
10 Midway,Forsyth,11631,729,5906,1566,4,8205,8205,
15 Heardsville,Forsyth,8091,712,3944,955,0,5611,5611,
16 Otwell,Forsyth,6333,502,2859,913,3,4277,4277,
19 Old Atlanta,Forsyth,3739,227,1765,500,0,2492,2492,
21 South Forsyth,Forsyth,8318,376,4030,1301,2,5709,5709,
25 Windermere,Forsyth,9714,619,4520,1320,3,6462,6462,
27 Concord,Forsyth,9858,977,4973,997,3,6950,6950,
29 Polo,Forsyth,11222,850,4652,1796,0,7298,7298,
34 Fowler,Forsyth,4965,404,1987,701,1,3093,3093,
35 Johns Creek,Forsyth,8444,379,3479,1437,1,5296,5296,
36 Nichols,Forsyth,6989,430,3372,940,4,4746,4746,
37 Sawnee,Forsyth,11952,681,5839,1601,4,8125,8125,
