Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
01 Big Creek,Forsyth,11222,521,3452,1225,3,5201,209,1809,1339,2,3359,50,183,93,0,326,8886,
02 Brandywine,Forsyth,4500,324,823,309,1,1457,240,771,596,1,1608,44,57,40,0,141,3206,
03 Browns Bridge,Forsyth,10740,744,4192,1089,2,6027,158,852,533,3,1546,67,222,83,0,372,7945,
04 Chestatee,Forsyth,6776,544,2946,619,1,4110,72,377,283,1,733,46,133,31,1,211,5054,
05 Coal Mountain,Forsyth,7852,568,3147,599,1,4315,144,799,415,1,1359,49,159,30,0,238,5912,
06 Crossroads,Forsyth,7061,486,2923,485,1,3895,79,555,288,0,922,47,156,21,0,224,5041,
07 Cumming,Forsyth,6281,308,2057,551,1,2917,121,584,435,0,1140,45,121,49,1,216,4273,
08 Mashburn,Forsyth,8296,560,3178,937,1,4676,127,834,630,1,1592,55,164,74,0,293,6561,
10 Midway,Forsyth,11631,570,4886,1070,4,6530,164,1447,969,0,2580,59,230,89,0,378,9488,
15 Heardsville,Forsyth,8091,589,3424,734,0,4747,120,665,447,0,1232,51,180,47,0,278,6257,
16 Otwell,Forsyth,6333,398,2384,710,3,3495,89,598,384,0,1071,40,127,32,0,199,4765,
19 Old Atlanta,Forsyth,3739,181,1359,324,0,1864,52,544,352,0,948,14,71,25,0,110,2922,
21 South Forsyth,Forsyth,8318,301,3308,937,1,4547,90,1010,778,2,1880,20,129,73,0,222,6649,
25 Windermere,Forsyth,9714,479,3391,841,1,4712,192,1626,915,2,2735,31,167,67,0,265,7712,
27 Concord,Forsyth,9858,831,4322,758,2,5913,124,834,455,0,1413,79,211,60,1,351,7677,
29 Polo,Forsyth,11222,642,3652,1204,0,5498,223,1423,1154,0,2800,64,180,88,0,332,8630,
34 Fowler,Forsyth,4965,304,1478,427,0,2209,109,781,540,1,1431,38,95,63,0,196,3836,
35 Johns Creek,Forsyth,8444,268,2521,881,1,3671,136,1417,1135,0,2688,22,146,83,0,251,6610,
36 Nichols,Forsyth,6989,317,2499,613,2,3431,120,1208,665,2,1995,36,140,60,0,236,5662,
37 Sawnee,Forsyth,11952,536,4730,1101,3,6370,130,1461,951,4,2546,62,286,86,0,434,9350,
