Precinct,County,Registered Voters,Tom Cleveland (I) (Rep)_Election Day Votes,Tom Cleveland (I) (Rep)_Advanced Voting Votes,Tom Cleveland (I) (Rep)_Absentee by Mail Votes,Tom Cleveland (I) (Rep)_Provisional Votes,Tom Cleveland (I) (Rep)_Choice Total,Total,
02 Brandywine,Forsyth,4500,509,1276,602,1,2388,2388,
10 Midway,Forsyth,11631,728,5891,1563,3,8185,8185,
25 Windermere,Forsyth,9714,54,299,106,0,459,459,
29 Polo,Forsyth,11222,843,4618,1793,0,7254,7254,
34 Fowler,Forsyth,4965,402,1980,700,1,3083,3083,
37 Sawnee,Forsyth,11952,93,705,259,1,1058,1058,
