Precinct,County,Registered Voters,Greg G. Allen (I) (Rep)_Election Day Votes,Greg G. Allen (I) (Rep)_Advanced Voting Votes,Greg G. Allen (I) (Rep)_Absentee by Mail Votes,Greg G. Allen (I) (Rep)_Provisional Votes,Greg G. Allen (I) (Rep)_Choice Total,Total,
01 Big Creek,Forsyth,11222,702,4607,1903,4,7216,7216,
02 Brandywine,Forsyth,4500,501,1277,600,1,2379,2379,
03 Browns Bridge,Forsyth,10740,914,4804,1344,3,7065,7065,
04 Chestatee,Forsyth,6776,639,3249,745,2,4635,4635,
05 Coal Mountain,Forsyth,7852,705,3692,812,1,5210,5210,
06 Crossroads,Forsyth,7061,586,3369,604,1,4560,4560,
07 Cumming,Forsyth,6281,423,2507,793,1,3724,3724,
08 Mashburn,Forsyth,8296,696,3745,1216,2,5659,5659,
10 Midway,Forsyth,11631,732,5863,1566,4,8165,8165,
15 Heardsville,Forsyth,8091,705,3934,966,0,5605,5605,
16 Otwell,Forsyth,6333,495,2826,906,3,4230,4230,
19 Old Atlanta,Forsyth,3739,227,1751,495,0,2473,2473,
21 South Forsyth,Forsyth,8318,377,4018,1289,2,5686,5686,
25 Windermere,Forsyth,9714,623,4504,1321,3,6451,6451,
27 Concord,Forsyth,9858,978,4962,977,2,6919,6919,
29 Polo,Forsyth,11222,837,4607,1796,0,7240,7240,
34 Fowler,Forsyth,4965,400,1979,706,1,3086,3086,
35 Johns Creek,Forsyth,8444,378,3444,1429,1,5252,5252,
36 Nichols,Forsyth,6989,430,3355,947,4,4736,4736,
37 Sawnee,Forsyth,11952,671,5812,1583,4,8070,8070,
