index,County,Precinct,Registered Voters,Atha M. Lucas (I) (Rep)_Election Day Votes,Atha M. Lucas (I) (Rep)_Advanced Voting Votes,Atha M. Lucas (I) (Rep)_Absentee by Mail Votes,Atha M. Lucas (I) (Rep)_Provisional Votes,Atha M. Lucas (I) (Rep)_Choice Total,Total,
0,Ware,100,4740,241,836,697,5,1779,1779,
1,Ware,200A,2730,248,921,222,5,1396,1396,
2,Ware,200B,976,65,209,108,3,385,385,
3,Ware,300,4061,431,1583,428,7,2449,2449,
4,Ware,304,1269,197,443,85,1,726,726,
5,Ware,400,3538,417,1565,379,6,2367,2367,
6,Ware,404,373,157,71,37,1,266,266,
7,Ware,405,636,207,195,50,1,453,453,
8,Ware,406,1659,307,698,129,1,1135,1135,
9,Ware,407,505,206,114,29,0,349,349,
10,Ware,408,523,209,123,25,0,357,357,
11,Ware,409,984,228,360,78,0,666,666,
