index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Johnson,Wrightsville,3113,133,951,167,0,1251,122,502,328,0,952,5,9,5,0,19,2222,
1,Johnson,Smith,796,228,238,56,0,522,31,17,13,0,61,0,0,0,0,0,583,
2,Johnson,Bray,790,144,267,49,0,460,37,57,62,0,156,1,4,0,0,5,621,
3,Johnson,Kite,912,266,292,59,0,617,19,17,17,0,53,3,0,1,0,4,674,
